Code,State,Age,Both Sexes
34,NJ,5-13,1133552
34,NJ,14,141661
34,NJ,15,144881
34,NJ,16,141073
34,NJ,17,142787
34,NJ,18,128846
34,NJ,19,126841
34,NJ,20,122162
34,NJ,21,119857
34,NJ,22,116509
34,NJ,23,115146
34,NJ,24,114850
34,NJ,25-29,552802
34,NJ,30-34,498371
34,NJ,35-44,812843
34,NJ,45-54,894976
34,NJ,55-59,417427
34,NJ,60-61,145477
34,NJ,62-64M,94116
34,NJ,62-64F,108807
34,NJ,65+,791895
35,NM,0-2,62481
35,NM,3-4,41795
35,NM,5-13,202511
35,NM,14,27409
35,NM,15,27969
35,NM,16,27262
35,NM,17,26484
35,NM,18,24811
35,NM,19,25136
35,NM,20,23676
35,NM,21,23083
35,NM,22,22417
35,NM,23,21461
35,NM,24,20405
35,NM,25-29,97507
35,NM,30-34,76399
35,NM,35-44,130752
35,NM,45-54,117073
35,NM,55-59,50643
35,NM,60-61,17473
35,NM,62-64M,12433
35,NM,62-64F,13455
35,NM,65+,96659
36,NY,0-2,671964
36,NY,3-4,478160
36,NY,5-13,2667779
36,NY,14,333665
36,NY,15,342205
36,NY,16,335822
36,NY,17,336998
36,NY,18,325679
36,NY,19,326082
36,NY,20,314498
36,NY,21,304347
36,NY,22,292945
36,NY,23,287503
36,NY,24,291640
36,NY,25-29,1449060
36,NY,30-34,1221916
36,NY,35-44,1963298
36,NY,45-54,2089234
36,NY,55-59,975260
36,NY,60-61,348681
36,NY,62-64M,228069
36,NY,62-64F,274561
36,NY,65+,2081181
37,NC,0-2,241141
37,NC,3-4,173486
37,NC,5-13,865162
37,NC,14,109192
37,NC,15,109803
37,NC,16,108807
37,NC,17,109404
37,NC,18,115278
37,NC,19,124391
37,NC,20,119539
37,NC,21,114262
37,NC,22,109004
37,NC,23,104203
37,NC,24,104126
37,NC,25-29,482328
37,NC,30-34,371166
37,NC,35-44,614432
37,NC,45-54,603759
37,NC,55-59,271042
37,NC,60-61,94343
37,NC,62-64M,63002
37,NC,62-64F,76918
37,NC,65+,523178
38,ND,0-2,29281
38,ND,3-4,18986
38,ND,5-13,98366
38,ND,14,13719
38,ND,15,14066
38,ND,16,13895
38,ND,17,14215
38,ND,18,13669
38,ND,19,14231
38,ND,20,14090
38,ND,21,13418
38,ND,22,12580
38,ND,23,11993
38,ND,24,12309
38,ND,25-29,54769
38,ND,30-34,36594
38,ND,35-44,62924
38,ND,45-54,62337
38,ND,55-59,30216
38,ND,60-61,11629
38,ND,62-64M,8569
38,ND,62-64F,8721
38,ND,65+,75220
39,OH,0-2,455603
39,OH,3-4,326121
39,OH,5-13,1681407
39,OH,14,211341
39,OH,15,218073
39,OH,16,213668
39,OH,17,216618
39,OH,18,216636
39,OH,19,217167
39,OH,20,206419
39,OH,21,197449
39,OH,22,191877
39,OH,23,186582
39,OH,24,184115
39,OH,25-29,893143
39,OH,30-34,681690
39,OH,35-44,1128770
39,OH,45-54,1214228
39,OH,55-59,551151
39,OH,60-61,194025
39,OH,62-64M,125805
39,OH,62-64F,145335
39,OH,65+,1095440
40,OK,0-2,126448
40,OK,3-4,86108
40,OK,5-13,413138
40,OK,14,53896
40,OK,15,54700
40,OK,16,53724
40,OK,17,53767
40,OK,18,54997
40,OK,19,57613
40,OK,20,55030
40,OK,21,52451
40,OK,22,51692
40,OK,23,49475
40,OK,24,47812
40,OK,25-29,235099
40,OK,30-34,175623
40,OK,35-44,296767
40,OK,45-54,297391
40,OK,55-59,136723
40,OK,60-61,49176
40,OK,62-64M,35245
40,OK,62-64F,42057
40,OK,65+,347882
41,OR,0-2,102271
41,OR,3-4,67486
41,OR,5-13,353617
41,OR,14,44797
41,OR,15,46516
41,OR,16,44997
41,OR,17,43820
41,OR,18,43262
41,OR,19,43717
41,OR,20,42678
41,OR,21,41692
41,OR,22,43440
41,OR,23,43725
41,OR,24,42930
41,OR,25-29,216073
41,OR,30-34,168817
41,OR,35-44,247688
41,OR,45-54,243173
41,OR,55-59,119174
41,OR,60-61,44383
41,OR,62-64M,31110
41,OR,62-64F,33861
41,OR,65+,269035
42,PA,0-2,436681
42,PA,3-4,317434
42,PA,5-13,1742469
42,PA,14,221412
42,PA,15,229541
42,PA,16,226897
42,PA,17,230271
42,PA,18,227834
42,PA,19,228838
42,PA,20,217486
42,PA,21,207029
42,PA,22,200319
42,PA,23,194309
42,PA,24,195479
42,PA,25-29,945984
42,PA,30-34,711865
42,PA,35-44,1203875
42,PA,45-54,1434510
42,PA,55-59,698853
42,PA,60-61,252467
42,PA,62-64M,164217
42,PA,62-64F,193653
42,PA,65+,1415959
44,RI,0-2,31948
44,RI,3-4,25860
44,RI,5-13,138616
44,RI,14,17457
44,RI,15,18165
44,RI,16,17457
44,RI,17,17582
44,RI,18,19010
44,RI,19,19831
44,RI,20,18950
44,RI,21,18200
