Code,State,Year,Republican Votes,Democrat Votes,Winner
23,ME,2016,335593,357735, BLUE
24,MD,2016,943169,1677928, BLUE
25,MA,2016,1090893,1995196, BLUE
26,MI,2016,2279543,2268839, RED
27,MN,2016,1322949,1367705, BLUE
28,MS,2016,700714,485131, RED
29,MO,2016,1594511,1071068, RED
30,MT,2016,279240,177709, RED
31,NE,2016,495961,284494, RED
32,NV,2016,512058,539260, BLUE
33,NH,2016,345790,348526, BLUE
34,NJ,2016,1601933,2148278, BLUE
35,NM,2016,319667,385234, BLUE
36,NY,2016,2527142,4379789, BLUE
37,NC,2016,2362631,2189316, RED
38,ND,2016,216794,93758, RED
39,OH,2016,2841005,2394164, RED
40,OK,2016,949136,420375, RED
41,OR,2016,782403,1002106, BLUE
42,PA,2016,2970733,2926441, RED
44,RI,2016,180543,252525, BLUE
45,SC,2016,1155389,855373, RED
46,SD,2016,227721,117458, RED
47,TN,2016,1522925,870695, RED
48,TX,2016,4685047,3877868, RED
49,UT,2016,515211,310674, RED
50,VT,2016,95369,178573, BLUE
51,VA,2016,1769443,1981473, BLUE
53,WA,2016,1221747,1742718, BLUE
54,WV,2016,489371,188794, RED
55,WI,2016,1405284,1382536, RED
56,WY,2016,174419,55973, RED
